Crash Id,Calendar Year,FDOT Crash Number,Reporting Agency Case Number,Reporting Agency Type,FDOT Managing District,County Name,Crash Date,Crash Time,Day,DHSMV City,Crash Report City Code,In Town,On Roadway Name,Int Roadway Name,Reference Distance (Miles),Reference Direction,Officer Latitude,Officer Longitude,FDOT Latitude,FDOT Longitude,FDOT Roadway,Nearest Inventory MP,Nearest Node From Crash,State Road #,US Highway,Crash Side of Road,Accident Lane Number,Travel Direction Vehicle 1,FDOT Road Category,DHSMV Road System Id,Relation to Junction,Crash Harmful Event Location,Intersection Type,Shoulder Type,FDOT Roadway SKID Test Result,FDOT Roadway SKID Test Date,Functional Class,RCI Surface Width,RCI Shoulder Type First,RCI Shoulder Width First,RCI Shoulder Type Second,RCI Shoulder Width Second,RCI Shoulder Type Third,RCI Shoulder Width Third,RCI Median Width,Avg Daily Traffic,AADT Source,RCI Avg Per Truck Traffic,RCI Horiz Curve Condition,Posted Speed Limit,Highest Injury in Crash,CAR Status Code,Alcohols/Drug Involved,Site Location,Lighting,Weather,Road Surface,Roadway Grade,Roadway Alignment,Traffic Way Vehicle 1,Traffic Way Vehicle 2,Traffic Control Vehicle 1,Traffic Control Vehicle 2,Count of Lanes,Road Condition 1,Road Condition 2,Road Condition 3,Environment Condition 1,Environment Condition 2,Environment Condition 3,Crash Harmful Event,Manner of Collision,Vehicle Movement,Driver Action Vehicle 1,Driver Action Vehicle 2,Location Within Workzone,Type of Workzone,Workers Present in Workzone,Law Enforcement Present in Workzone,School Bus Related,Count of Nonfatal Injuries,Count of Traffic Fatalities,Count of Serious Injuries,Count of Pedestrians,Count of Drivers,Count of Bicyclists,Count of Vehicles,Count of Persons,Wrong Way,Workzone Inv,Commercial Vehicle Inv,Intersection Inv,Lane Departure,Speeding,Agressive Driving,Impaired Driver,Impaired Pedestrian,Impaired Bicyclist,Distracted Driver,Speeding or Aggressive Driving,Pedestrian Related,Bicyclist Related,Pedestrian or Bicyclist Related,Motorcycle Inv,No Belt,No Belt - Ages 1-4,No Belt - Ages 5-12,No Belt - Ages 13-17,Driver - Ages Teen,Driver - Ages 65 plus,Driver - Ages 65-69,Driver - Ages 70-74,Driver - Ages 75-79,Driver - Ages 80 plus,ARBM Latitude,ARBM Longitude,UTM Zone 17N X,UTM Zone 17N Y,ARBM Side of Road,Urban Rural Indicator,GIS Street Source,Extract Date,OBJECTID,x,y
2020879733630,2020,879733630,2020TA005890,COUNTY SHERIFF'S OFFICE,05 FIFTH,ORANGE,"June 15, 2020",1334,TUESDAY,7540 MAITLAND,0740,Y,HORATIO AVE,US 17,0.003,E,0,0,28.6278313,-81.3635213,75030000,7.78,01001,SR 15,US 17,S SIDE RD RIGHT,1 THRU LANE 1,E EAST,30 URBAN 6+LN 2WY DIVD RASD,05 LOCAL,03 INTERSECTION-RELATED,01 ON ROADWAY,01 NOT AT INTERSECTION,03 CURB,41,"March 1, 2020",14 URBAN PRIN ART OTHER,31,CURB&GUTTER,2,,0,,0,21,33000,RCI,3.6,,40,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, UNPROTECTED","TWO-WAY, DIVIDED, UNPROTECTED",FLASHING SIGNAL,FLASHING SIGNAL,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",05 TURNING RIGHT,FAILED TO YIELD RIGHT-OF-WAY,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,28.62781403,-81.363429277,464475.825974,3166805.719859,R,,ARBM15Q1R2,"June 10, 2023",117106,-9057335.862116003,3328360.5299544986
2020879733640,2020,879733640,2020TA005112,COUNTY SHERIFF'S OFFICE,05 FIFTH,ORANGE,"May 24, 2020",1741,MONDAY,7540 MAITLAND,0740,Y,SR 414,CONCOURSE PKWY,0.002,E,0,0,28.6310931,-81.3778819,75011000,0.906,02612,SR 414,,L LEFT,1 THRU LANE 1,W WEST,20 URBAN 4-5LN 2WY DIVD RASD,03 STATE,03 INTERSECTION-RELATED,01 ON ROADWAY,02 FOUR-WAY INTERSECTION,03 CURB,38,"April 2, 2018",14 URBAN PRIN ART OTHER,24,CURB&GUTTER,2,,0,,0,32,60000,RCI,5.6,3D00,50,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,03 INFLUENCED BY INTERSECTION,01 DAYLIGHT,01 CLEAR,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, UNPROTECTED","TWO-WAY, DIVIDED, UNPROTECTED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,14 SLOWING,FOLLOWED TOO CLOSELY,NO CONTRIBUTING ACTION,04 ACTIVITY AREA,03 WORK ON SHOULDER OR MEDIAN,01 NO,01 NO,01 NO,0,0,0,0,2,0,2,2,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.631159522,-81.377937338,463058.86488,3167180.751641,L,,ARBM15Q1R2,"June 10, 2023",117107,-9058950.892566692,3328784.82411572
2020879732240,2020,879732240,2020TA005077,COUNTY SHERIFF'S OFFICE,05 FIFTH,ORANGE,"May 22, 2020",1456,SATURDAY,7540 MAITLAND,0740,Y,I 4,SR 414,0.322,W,0,0,28.6315838,-81.3864469,75280160,0.167,00029,SR 400,I 4,R RIGHT,X RAMP,E EAST,08 RAMP RURAL,01 INTERSTATE,01 NON-JUNCTION,04 MEDIAN,01 NOT AT INTERSECTION,01 PAVED,0,"December 31, 2000",,14,PAVED,4,VALLEY GUTR,2,,0,,15500,RCI,6,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,08 EXIT RAMP,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,ONE-WAY TRAFFICWAY,ONE-WAY TRAFFICWAY,NO CONTROLS,NO CONTROLS,1,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,77 OTHER (SEE NARRATIVE),SWERVED OR AVOIDED:  DUE TO WI,NO CONTRIBUTING ACTION,04 ACTIVITY AREA,04 INTERMITTENT OR MOVING WORK,01 NO,01 NO,01 NO,0,0,0,0,2,0,2,4,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.631630309,-81.38646745,462225.258697,3167235.573712,O,,ARBM15Q1R2,"June 10, 2023",124314,-9059900.460645508,3328844.5330850813
2020882085290,2020,882085290,FHPK20OFF020992,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"May 21, 2020",0736,FRIDAY,7546 ORLANDO,0746,N,SR 91,SR 528,0.095,S,28.4341748,-81.4094955,28.4322882,-81.4074974,75470000,6.285,01429,SR 91,,L LEFT,3 THRU LANE 3,S SOUTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,01 PAVED,40,"November 11, 2019",12 URBAN PRIN ART EXPR.,48,PAVED WARN,8,VALLEY GUTR,3.5,,0,26,102000,RCI,17.8,0D4500,70,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,WARNING SIGN,NOT CODED,7,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,07 THROWN OR FALLING OBJECT,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,NO CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.43218032,-81.407650377,460079.651027,3145146.325158,L,,ARBM15Q1R2,"June 10, 2023",216342,-9062258.533175243,3303572.5924791675
2020882085300,2020,882085300,FHPK20OFF021596,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"May 24, 2020",0753,MONDAY,7546 ORLANDO,0746,N,SR 91,SR 417,0.095,S,28.3527899,-81.3849699,28.3663588,-81.3892388,75470000,1.332,03495,SR 91,,L LEFT,S SIDE OF ROAD,N NORTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,30,"March 15, 2017",12 URBAN PRIN ART EXPR.,24,PAVED WARN,12,LAWN,0,,0,40,86200,RCI,17.8,,70,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,03 RAIN,02 WET,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,WARNING SIGN,NOT CODED,4,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.366284916,-81.389457111,461837.694187,3137840.333841,L,,ARBM15Q1R2,"June 10, 2023",216343,-9060233.267283656,3295233.588987229
2020882046710,2020,882046710,FHPK20OFF037173,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"June 20, 2020",1721,SUNDAY,7542 OCOEE,0742,N,SR 91,SR 50,0,,28.5475822,-81.5534978,28.5495728,-81.6372261,75470112,0.447,03253,SR 91,,R RIGHT,X RAMP,N NORTH,08 RAMP RURAL,06 TURNPIKE/TOLL,01 NON-JUNCTION,02 OFF ROADWAY,01 NOT AT INTERSECTION,02 UNPAVED,0,"December 31, 2000",,48,CURB&GUTTER,2,LAWN,0,,0,,19400,RCI,17.8,,,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,08 EXIT RAMP,01 DAYLIGHT,02 CLOUDY,02 WET,01 LEVEL,2 CURVE RIGHT,ONE-WAY TRAFFICWAY,,NO CONTROLS,NOT CODED,4,"RD SURFC (WET, ICY, SNOW, ETC)",NOT CODED,NOT CODED,WEATHER CONDITIONS,NOT CODED,NOT CODED,33 UTILITY POLE/LIGHT SUPPORT,77 OTHER (SEE NARRATIVE),15 NEGOTIATING A CURVE,OTHER CONTRIBUTING ACTION,NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,1,0,1,1,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.549576295,-81.637238675,437665.1345,3158249.868,O,,ARBM15Q1R2,"June 10, 2023",219287,-9087816.193546968,3318441.826711207
2020881930160,2020,881930160,FHPD20OFF038869,FLORIDA HIGHWAY PATROL,05 FIFTH,ORANGE,"June 8, 2020",0910,TUESDAY,7546 ORLANDO,0746,N,SR 436,SR 50,0.004,S,28.5567396,-81.3106902,28.5572221,-81.3107736,75003000,7.309,04792,SR 436,,R RIGHT,1 THRU LANE 1,N NORTH,30 URBAN 6+LN 2WY DIVD RASD,03 STATE,03 INTERSECTION-RELATED,01 ON ROADWAY,02 FOUR-WAY INTERSECTION,03 CURB,40,"March 2, 2020",14 URBAN PRIN ART OTHER,33,CURB&GUTTER,2,,0,,0,25,64500,RCI,4.2,,45,1 NO INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,03 INFLUENCED BY INTERSECTION,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,OPERATED MV IN CARLESS OR NEGL,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,0,0,0,0,2,0,2,2,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.557244105,-81.310706911,469609.026318,3158973.060422,R,,ARBM15Q1R2,"June 10, 2023",1285051,-9051466.83322633,3319413.599477822
2020879732160,2020,879732160,2020TA004091,COUNTY SHERIFF'S OFFICE,05 FIFTH,ORANGE,"April 13, 2020",1541,TUESDAY,7540 MAITLAND,0740,Y,US 17,PACKWOOD AVE,0.004,N,0,0,28.6260733,-81.3635,75030000,7.654,01000,SR 15,US 17,R RIGHT,3 THRU LANE 3,N NORTH,30 URBAN 6+LN 2WY DIVD RASD,02 U.S.,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,03 CURB,42,"March 1, 2020",14 URBAN PRIN ART OTHER,31,CURB&GUTTER,2,,0,,0,21,38500,RCI,4.4,,40,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",TRAFFIC CONTROL SIGNAL,TRAFFIC CONTROL SIGNAL,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,01 FRONT TO REAR,01 STRAIGHT AHEAD,FOLLOWED TOO CLOSELY,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.625978154,-81.363416893,464476.418363,3166602.325913,R,,ARBM15Q1R2,"June 10, 2023",1663716,-9057334.483555669,3328127.699474991
2020880298660,2020,880298660,FHPK20OFF030588,FLORIDA HIGHWAY PATROL,08 TURNPIKE,ORANGE,"June 7, 2020",1220,MONDAY,7546 ORLANDO,0746,N,SR 91,MM 251,0.057,N,28.3647099,-81.3890499,0,0,75470000,1.58,04958,SR 91,,R RIGHT,S SIDE OF ROAD,N NORTH,03 TOLL ROAD URBAN,06 TURNPIKE/TOLL,01 NON-JUNCTION,03 SHOULDER,01 NOT AT INTERSECTION,01 PAVED,30,"March 15, 2017",12 URBAN PRIN ART EXPR.,24,PAVED WARN,10,LAWN,12,,0,40,77400,RCI,17.8,,70,2 POSSIBLE INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED",,NO CONTROLS,NOT CODED,4,DEBRIS,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,30 CONCRETE TRAFFIC BARRIER,77 OTHER (SEE NARRATIVE),01 STRAIGHT AHEAD,NO CONTRIBUTING ACTION,NOT CODED,04 ACTIVITY AREA,03 WORK ON SHOULDER OR MEDIAN,02 YES,01 NO,01 NO,1,0,0,0,1,0,1,2,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,28.369884608,-81.38964657,461820.417818,3138239.176641,R,,ARBM15Q1R2,"June 10, 2023",1664018,-9060254.357798053,3295688.9928603866
2020879734390,2020,879734390,2020TA006290,COUNTY SHERIFF'S OFFICE,05 FIFTH,ORANGE,"June 28, 2020",0800,MONDAY,7540 MAITLAND,0740,Y,US 17,CIRCLE DR,0.004,S,0,0,28.6146204,-81.3654695,75030000,6.849,00994,SR 15,US 17,L LEFT,2 THRU LANE 2,S SOUTH,30 URBAN 6+LN 2WY DIVD RASD,02 U.S.,01 NON-JUNCTION,01 ON ROADWAY,01 NOT AT INTERSECTION,03 CURB,39,"March 1, 2020",14 URBAN PRIN ART OTHER,35,CURB&GUTTER,2,,0,,0,30,45500,RCI,4.4,,40,3 NO-INCAPACITATING INJURY,31 Q/C COMPLETED - LOC VERIFIED,0 NO,01 NOT AT INTERSECTION/RRX/BRIDGE,01 DAYLIGHT,01 CLEAR,01 DRY,01 LEVEL,1 STRAIGHT,"TWO-WAY, DIVIDED, POSITIVE MED","TWO-WAY, DIVIDED, POSITIVE MED",NO CONTROLS,NO CONTROLS,6,NONE,NOT CODED,NOT CODED,NONE,NOT CODED,NOT CODED,14 MOTOR VEHICLE IN TRANSPORT,"04 SIDESWIPE, SAME DIRECTION",06 CHANGING LANES,OTHER CONTRIBUTING ACTION,NO CONTRIBUTING ACTION,00 NOT CODED,00 NOT CODED,00 NOT CODED,00 NOT CODED,01 NO,1,0,0,0,2,0,2,3,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.614613175,-81.365559869,464263.095439,3165343.878977,L,,ARBM15Q1R2,"June 10, 2023",1664292,-9057573.038609182,3326686.4545871005
